NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
AP2B1P1	1	ENSG00000234130	
GOLM2	1	ENSG00000166734	
NCKAP1	1	ENSG00000061676	
P4HB	1	ENSG00000185624	
SLC25A36	1	ENSG00000114120	
REPS1	1	ENSG00000135597	
ZFYVE21	1	ENSG00000100711	
PCM1	1	ENSG00000078674	
PFDN5	1	ENSG00000123349	
PARP16	1	ENSG00000138617	
SCAMP1	1	ENSG00000085365	
NECAP1	1	ENSG00000089818	
RBBP4P1	1	ENSG00000249485	
CARNMT1	1	ENSG00000156017	
HIBADH	1	ENSG00000106049	
BTF3L4P2	1	ENSG00000213189	
TRAPPC8	1	ENSG00000153339	
ZNF248	1	ENSG00000198105	
MRPL19	1	ENSG00000115364	
GATD3	1	ENSG00000160221	
SERP1	1	ENSG00000120742	
RBM33	1	ENSG00000184863	
ERG28	1	ENSG00000133935	
POLR1F	1	ENSG00000105849	
KBTBD7	1	ENSG00000120696	
BLTP3A	1	ENSG00000065060	
ABI2	1	ENSG00000138443	
CACUL1	1	ENSG00000151893	
ARHGAP5	1	ENSG00000100852	
ERLEC1	1	ENSG00000068912	
MDGA1	1	ENSG00000112139	
RHOT1	1	ENSG00000126858	
PHF10	1	ENSG00000130024	
NEK1	1	ENSG00000137601	
RO60	1	ENSG00000116747	
PPP2R5C	1	ENSG00000078304	
HM13	1	ENSG00000101294	
ETAA1	1	ENSG00000143971	
H3P16	1	ENSG00000178458	
VDAC2P5	1	ENSG00000172974	
SEPTIN3	1	ENSG00000100167	
PPM1B	1	ENSG00000138032	
STX6	1	ENSG00000135823	
DHRS4	1	ENSG00000157326	
LONP2	1	ENSG00000102910	
COPS7A	1	ENSG00000111652	
RBBP5	1	ENSG00000117222	
STX7	1	ENSG00000079950	
KDELR1	1	ENSG00000105438	
MINPP1	1	ENSG00000107789	
ZNF451	1	ENSG00000112200	
MON1B	1	ENSG00000103111	
NCSTN	1	ENSG00000162736	
RBAK	1	ENSG00000146587	
MYNN	1	ENSG00000085274	
IBTK	1	ENSG00000005700	
GORASP2	1	ENSG00000115806	
MTMR14	1	ENSG00000163719	
MAP3K2	1	ENSG00000169967	
SACM1L	1	ENSG00000211456	
AP2B1	1	ENSG00000006125	
DNAL1	1	ENSG00000119661	
ZNF24	1	ENSG00000172466	
ZNF562	1	ENSG00000171466	
PRDM4	1	ENSG00000110851	
RAB11FIP3	1	ENSG00000090565	
ZNF211	1	ENSG00000121417	
SATB1	1	ENSG00000182568	
TAB1	1	ENSG00000100324	
TRMT1L	1	ENSG00000121486	
TMEM209	1	ENSG00000146842	
TXNDC12	1	ENSG00000117862	
INSR	1	ENSG00000171105	
FKBP9	1	ENSG00000122642	
DAP3	1	ENSG00000132676	
LAMTOR2	1	ENSG00000116586	
ARL2BP	1	ENSG00000102931	
NDUFA5	1	ENSG00000128609	
ST13P6	1	ENSG00000225259	
RNF13	1	ENSG00000082996	
CERS4	1	ENSG00000090661	
TMPO	1	ENSG00000120802	
RIMOC1	1	ENSG00000205765	
CDC40	1	ENSG00000168438	
SSBL2P	1	ENSG00000236852	
PAXBP1	1	ENSG00000159086	
TPR	1	ENSG00000047410	
GSE1	1	ENSG00000131149	
C19orf25	1	ENSG00000119559	
PAIP2B	1	ENSG00000124374	
SLC25A10	1	ENSG00000183048	
SMAP1	1	ENSG00000112305	
NADK2	1	ENSG00000152620	
NPM1P7	1	ENSG00000213443	
MGME1	1	ENSG00000125871	
ZNF587	1	ENSG00000198466	
BCL2L2	1	ENSG00000129473	
IRF2BP2	1	ENSG00000168264	
MTOR	1	ENSG00000198793	
FGD4	1	ENSG00000139132	
MORC3	1	ENSG00000159256	
PDE4A	1	ENSG00000065989	
ANKRD13C	1	ENSG00000118454	
GOLM1	1	ENSG00000135052	
TAF1	1	ENSG00000147133	
CDS2	1	ENSG00000101290	
NFE2L1	1	ENSG00000082641	
NUDT16L1	1	ENSG00000168101	
AGPAT3	1	ENSG00000160216	
TMED7	1	ENSG00000134970	
MID1IP1	1	ENSG00000165175	
TMEM263	1	ENSG00000151135	
FAM199X	1	ENSG00000123575	
DOCK3	1	ENSG00000088538	
TRMT2B	1	ENSG00000188917	
PITHD1	1	ENSG00000057757	
RHNO1	1	ENSG00000171792	
PABPN1P1	1	ENSG00000213018	
NAPG	1	ENSG00000134265	
PABPC3	1	ENSG00000151846	
EIF1	1	ENSG00000173812	
TOMM70	1	ENSG00000154174	
ZNF526	1	ENSG00000167625	
PEX11A	1	ENSG00000166821	
CASD1	1	ENSG00000127995	
NOMO3	1	ENSG00000103226	
PHF8	1	ENSG00000172943	
FIG4	1	ENSG00000112367	
ECPAS	1	ENSG00000136813	
RNF146	1	ENSG00000118518	
PTPRA	1	ENSG00000132670	
PIGX	1	ENSG00000163964	
SRP9P1	1	ENSG00000180581	
RNF14	1	ENSG00000013561	
MIS18A	1	ENSG00000159055	
KXD1	1	ENSG00000105700	
GLOD4	1	ENSG00000167699	
COPZ1	1	ENSG00000111481	
GXYLT1	1	ENSG00000151233	
ZNF112	1	ENSG00000062370	
PIAS1	1	ENSG00000033800	
MED13	1	ENSG00000108510	
ACSL1	1	ENSG00000151726	
AKR1A1	1	ENSG00000117448	
PHF20	1	ENSG00000025293	
VPS45	1	ENSG00000136631	
TRIM33	1	ENSG00000197323	
GABARAPL2	1	ENSG00000034713	
PLEKHH1	1	ENSG00000054690	
TCEA2	1	ENSG00000171703	
LONRF1	1	ENSG00000154359	
HDHD3	1	ENSG00000119431	
TOMM20	1	ENSG00000173726	
SLC25A46	1	ENSG00000164209	
PPIP5K2	1	ENSG00000145725	
NDFIP1	1	ENSG00000131507	
OGDH	1	ENSG00000105953	
LATS1	1	ENSG00000131023	
SLC30A5	1	ENSG00000145740	
PNPO	1	ENSG00000108439	
TWF1P1	1	ENSG00000178082	
RB1CC1	1	ENSG00000023287	
NIF3L1	1	ENSG00000196290	
TBC1D16	1	ENSG00000167291	
CTSB	1	ENSG00000164733	
TPRA1	1	ENSG00000163870	
EIF4EBP2	1	ENSG00000148730	
WDR24	1	ENSG00000127580	
EXOC2	1	ENSG00000112685	
AGFG1	1	ENSG00000173744	
NUDCD3	1	ENSG00000015676	
ARHGAP21	1	ENSG00000107863	
DPY19L4	1	ENSG00000156162	
TRAM1	1	ENSG00000067167	
SEPTIN8	1	ENSG00000164402	
ZBTB6	1	ENSG00000186130	
KIAA2026	1	ENSG00000183354	
MNT	1	ENSG00000070444	
MYSM1	1	ENSG00000162601	
TMCO1	1	ENSG00000143183	
PAX1	1	ENSG00000125813	
OSBPL2	1	ENSG00000130703	
SLC35A5	1	ENSG00000138459	
NSF	1	ENSG00000073969	
EYA3	1	ENSG00000158161	
INTS10	1	ENSG00000104613	
TBC1D9B	1	ENSG00000197226	
FBXL4	1	ENSG00000112234	
PEX19	1	ENSG00000162735	
USP12	1	ENSG00000152484	
UTP15	1	ENSG00000164338	
ZNF793	1	ENSG00000188227	
RALGAPA2	1	ENSG00000188559	
RPL23P8	1	ENSG00000219451	
AKR7A2	1	ENSG00000053371	
CRAT	1	ENSG00000095321	
RPL3P2	1	ENSG00000227939	
TANGO2	1	ENSG00000183597	
CPD	1	ENSG00000108582	
IRF5	1	ENSG00000128604	
CSF1R	1	ENSG00000182578	
TLK1	1	ENSG00000198586	
SENP5	1	ENSG00000119231	
TMEM230	1	ENSG00000089063	
CLK2	1	ENSG00000176444	
SMARCA5	1	ENSG00000153147	
EPS15	1	ENSG00000085832	
ABHD13	1	ENSG00000139826	
CSPP1	1	ENSG00000104218	
SHISA5	1	ENSG00000164054	
KRCC1	1	ENSG00000172086	
MSX2	1	ENSG00000120149	
WASL	1	ENSG00000106299	
STMP1	1	ENSG00000243317	
DTX3	1	ENSG00000178498	
TMED3	1	ENSG00000166557	
UBE2W	1	ENSG00000104343	
ELMO2	1	ENSG00000062598	
SNAP29	1	ENSG00000099940	
LRRC47	1	ENSG00000130764	
DDI2	1	ENSG00000197312	
ZNF320	1	ENSG00000182986	
TOPBP1	1	ENSG00000163781	
HMGB3	1	ENSG00000029993	
KLHL12	1	ENSG00000117153	
EIF1B	1	ENSG00000114784	
ZNF226	1	ENSG00000167380	
PCK2	1	ENSG00000100889	
SERINC3	1	ENSG00000132824	
CCNH	1	ENSG00000134480	
HPN	1	ENSG00000105707	
H6PD	1	ENSG00000049239	
MIER1	1	ENSG00000198160	
CGGBP1	1	ENSG00000163320	
ACSF3	1	ENSG00000176715	
CNOT9	1	ENSG00000144580	
RALGAPB	1	ENSG00000170471	
MARCHF8	1	ENSG00000165406	
PHYH	1	ENSG00000107537	
ANKIB1	1	ENSG00000001629	
TENT2	1	ENSG00000164329	
SEC24C	1	ENSG00000176986	
DCAF5	1	ENSG00000139990	
SSU72	1	ENSG00000160075	
REEP5	1	ENSG00000129625	
FAM20B	1	ENSG00000116199	
PRKAR2A	1	ENSG00000114302	
TNPO3	1	ENSG00000064419	
SLC39A9	1	ENSG00000029364	
GLA	1	ENSG00000102393	
BSDC1	1	ENSG00000160058	
MOB1B	1	ENSG00000173542	
ZNF493	1	ENSG00000196268	
SND1	1	ENSG00000197157	
ACBD3	1	ENSG00000182827	
HP1BP3	1	ENSG00000127483	
CENPBD2P	1	ENSG00000213753	
XPO7	1	ENSG00000130227	
DROSHA	1	ENSG00000113360	
RPN2	1	ENSG00000118705	
UBXN7	1	ENSG00000163960	
DKC1	1	ENSG00000130826	
MFAP3	1	ENSG00000037749	
DNAJC19	1	ENSG00000205981	
KLHL7	1	ENSG00000122550	
ATPAF2	1	ENSG00000171953	
TNKS	1	ENSG00000173273	
OXSM	1	ENSG00000151093	
BTAF1	1	ENSG00000095564	
MPHOSPH8	1	ENSG00000196199	
BHLHE40	1	ENSG00000134107	
INTS2	1	ENSG00000108506	
SYNGAP1	1	ENSG00000197283	
MRPL10	1	ENSG00000159111	
FOXO3	1	ENSG00000118689	
TPI1P1	1	ENSG00000226415	
GTF3C3	1	ENSG00000119041	
RTRAFP1	1	ENSG00000225496	
COMMD1	1	ENSG00000173163	
CFAP91	1	ENSG00000183833	
RAB18	1	ENSG00000099246	
YTHDC1	1	ENSG00000083896	
FUBP3	1	ENSG00000107164	
GALNT7	1	ENSG00000109586	
STAMBP	1	ENSG00000124356	
CASP7	1	ENSG00000165806	
RGP1	1	ENSG00000107185	
TADA1	1	ENSG00000152382	
SLC6A8	1	ENSG00000130821	
MRS2	1	ENSG00000124532	
PLEKHA4	1	ENSG00000105559	
ZNF268	1	ENSG00000090612	
KATNA1	1	ENSG00000186625	
BTRC	1	ENSG00000166167	
ATP9B	1	ENSG00000166377	
LMAN2	1	ENSG00000169223	
ZNF875	1	ENSG00000181666	
HAUS6	1	ENSG00000147874	
HSP90B1	1	ENSG00000166598	
TGS1	1	ENSG00000137574	
TDP2	1	ENSG00000111802	
BFAR	1	ENSG00000103429	
DXO	1	ENSG00000204348	
TMF1	1	ENSG00000144747	
XPO1	1	ENSG00000082898	
NBPF1	1	ENSG00000219481	
ANAPC16	1	ENSG00000166295	
TWF1	1	ENSG00000151239	
KIAA0232	1	ENSG00000170871	
TMEM170A	1	ENSG00000166822	
LSM14B	1	ENSG00000149657	
NFATC3	1	ENSG00000072736	
DCTN3	1	ENSG00000137100	
RBCK1	1	ENSG00000125826	
ZFC3H1	1	ENSG00000133858	
ZNF740	1	ENSG00000139651	
LRPPRC	1	ENSG00000138095	
TMEM268	1	ENSG00000157693	
YY1	1	ENSG00000100811	
FBXO11	1	ENSG00000138081	
PPP2R5D	1	ENSG00000112640	
GALT	1	ENSG00000213930	
CLDN12	1	ENSG00000157224	
UGGT1	1	ENSG00000136731	
NRIP1	1	ENSG00000180530	
COPG1	1	ENSG00000181789	
DDX17	1	ENSG00000100201	
GINM1	1	ENSG00000055211	
FAM193B	1	ENSG00000146067	
USP4	1	ENSG00000114316	
HNRNPLL	1	ENSG00000143889	
DVL3	1	ENSG00000161202	
TBC1D31	1	ENSG00000156787	
SEC61B	1	ENSG00000106803	
WAC	1	ENSG00000095787	
JKAMP	1	ENSG00000050130	
SEPHS2	1	ENSG00000179918	
GPC1	1	ENSG00000063660	
ACO1	1	ENSG00000122729	
MIOS	1	ENSG00000164654	
ZDBF2	1	ENSG00000204186	
RAD17	1	ENSG00000152942	
ATP6V0E2	1	ENSG00000171130	
UNC50	1	ENSG00000115446	
OXA1L	1	ENSG00000155463	
UFM1	1	ENSG00000120686	
TCFL5	1	ENSG00000101190	
LEPROT	1	ENSG00000213625	
EDC4	1	ENSG00000038358	
B4GALT7	1	ENSG00000027847	
RPS3AP26	1	ENSG00000214389	
SELENOF	1	ENSG00000183291	
BICRAL	1	ENSG00000112624	
EFNB2	1	ENSG00000125266	
ERCC6	1	ENSG00000225830	
TBP	1	ENSG00000112592	
VSIG10	1	ENSG00000176834	
LRSAM1	1	ENSG00000148356	
HDGFL2	1	ENSG00000167674	
MAGI2-AS3	1	ENSG00000234456	
ZNF12	1	ENSG00000164631	
FAM174A	1	ENSG00000174132	
ERLIN2	1	ENSG00000147475	
ARID2	1	ENSG00000189079	
RFXANK	1	ENSG00000064490	
ZBTB33	1	ENSG00000177485	
SRP72	1	ENSG00000174780	
PPP1R11	1	ENSG00000204619	
RAB40C	1	ENSG00000197562	
DNAJC10	1	ENSG00000077232	
ZNF304	1	ENSG00000131845	
TMEM128	1	ENSG00000132406	
HAUS6P1	1	ENSG00000227344	
PPP1R8	1	ENSG00000117751	
USP34	1	ENSG00000115464	
WFS1	1	ENSG00000109501	
ARHGEF3	1	ENSG00000163947	
EXOC1	1	ENSG00000090989	
FBXL17	1	ENSG00000145743	
HLA-DPB1	1	ENSG00000223865	
MTF1	1	ENSG00000188786	
LYPLA1P3	1	ENSG00000218350	
RAD54L2	1	ENSG00000164080	
PTP4A2	1	ENSG00000184007	
PIK3CB	1	ENSG00000051382	
LAMP2	1	ENSG00000005893	
CAPZA1	1	ENSG00000116489	
MCC	1	ENSG00000171444	
KMT5C	1	ENSG00000133247	
WDR36	1	ENSG00000134987	
DCTN4	1	ENSG00000132912	
HNRNPCP2	1	ENSG00000204253	
CEP104	1	ENSG00000116198	
LGALS8	1	ENSG00000116977	
NDEL1	1	ENSG00000166579	
ZNF181	1	ENSG00000197841	
KLHDC10	1	ENSG00000128607	
XPO4	1	ENSG00000132953	
UBXN2A	1	ENSG00000173960	
NDST2	1	ENSG00000166507	
COA1	1	ENSG00000106603	
RRAGB	1	ENSG00000083750	
ARIH2	1	ENSG00000177479	
FCSK	1	ENSG00000157353	
DHDDS	1	ENSG00000117682	
ATRN	1	ENSG00000088812	
DCAF16	1	ENSG00000163257	
MAN1B1	1	ENSG00000177239	
APBA1	1	ENSG00000107282	
GRSF1	1	ENSG00000132463	
HYAL2	1	ENSG00000068001	
TUG1	1	ENSG00000253352	
STAT1	1	ENSG00000115415	
RPL13P12	1	ENSG00000215030	
RAB21	1	ENSG00000080371	
TYSND1	1	ENSG00000156521	
BCS1L	1	ENSG00000074582	
BCLAF3	1	ENSG00000173681	
FAM131A	1	ENSG00000175182	
CMPK1	1	ENSG00000162368	
CLCN6	1	ENSG00000011021	
PRKACB	1	ENSG00000142875	
FLYWCH1	1	ENSG00000059122	
TIA1	1	ENSG00000116001	
MAPK13	1	ENSG00000156711	
CEP290	1	ENSG00000198707	
RAB14	1	ENSG00000119396	
ZNF627	1	ENSG00000198551	
GSTK1	1	ENSG00000197448	
C5orf22	1	ENSG00000082213	
SLC30A7	1	ENSG00000162695	
SERPINB6	1	ENSG00000124570	
PARP9	1	ENSG00000138496	
HGSNAT	1	ENSG00000165102	
FYTTD1	1	ENSG00000122068	
TMEM183BP	1	ENSG00000224831	
RIC8B	1	ENSG00000111785	
BRD7	1	ENSG00000166164	
LRRC37A3	1	ENSG00000176809	
SIAH1	1	ENSG00000196470	
ZMIZ1	1	ENSG00000108175	
PEX6	1	ENSG00000124587	
COPS4	1	ENSG00000138663	
KDSR	1	ENSG00000119537	
SEC62	1	ENSG00000008952	
DDX19B	1	ENSG00000157349	
C5orf24	1	ENSG00000181904	
GLRX5	1	ENSG00000182512	
UBE2E1	1	ENSG00000170142	
UAP1L1	1	ENSG00000197355	
EIF3L	1	ENSG00000100129	
A1BG	1	ENSG00000121410	
PDCD7	1	ENSG00000090470	
ARMCX5	1	ENSG00000125962	
MPV17	1	ENSG00000115204	
COQ9	1	ENSG00000088682	
HSPA9	1	ENSG00000113013	
COPB2	1	ENSG00000184432	
TCEA1	1	ENSG00000187735	
FNIP2	1	ENSG00000052795	
CEP192	1	ENSG00000101639	
SH3GLB1	1	ENSG00000097033	
OSBPL9	1	ENSG00000117859	
SESN3	1	ENSG00000149212	
ZNF417	1	ENSG00000173480	
GBAP1	1	ENSG00000160766	
SNAP47	1	ENSG00000143740	
ANO8	1	ENSG00000074855	
VPS37D	1	ENSG00000176428	
TOGARAM1	1	ENSG00000198718	
ZNF671	1	ENSG00000083814	
FNDC3A	1	ENSG00000102531	
KLHL8	1	ENSG00000145332	
KDM3A	1	ENSG00000115548	
WSB1	1	ENSG00000109046	
GPATCH2L	1	ENSG00000089916	
UBE4B	1	ENSG00000130939	
SLC48A1	1	ENSG00000211584	
CAMLG	1	ENSG00000164615	
